,Title,Year,Tags,I/O,BM,PM,NUM,SYNC,CATEGORY,SUBCATEGORY
0,Principles for Designing Computer Music Controllers,2001,"voice synthesiser
real time synthesis
controler for voice models
accordion",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
1,Interdisciplinary Applications of New Instruments,2002,"voice command
voice modification",Voice as control,Spoken voice,Voice as audio,Single voice,Real-time processing,Voice as control,Spoken
2,Creating a Context for Musical Innovation: A NIME Curriculum,2002,tool to accompany singing,Voice accompaniment,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Other
3,"Bi-manual mapping experimentation, with angular fun- damental frequency control and sound color navigation",2002,"formant-synthesis model 
vowel-like singing voice
frequency control
vowel articulation
movement gesture
glove",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
4,Tongue ‘n’ Groove: An Ultrasound based Music Controller,2002,"musical controller
tongue shape for real-time control of music
Movement-Gesture",Voice transformation/modulation/morphing,Singing voice,"Voice as movement/gesture/motor control
Voice as audio",Single voice,Real-time processing,Voice beyond audio,face trackers
5,Score Following: State of the Art and New Developments,2003,"score following
voice analysis
singing voice",Voice analysis,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Other
6,Bio-Sensing Systems and Bio-Feedback Systems for Interactive Media Arts,2003,"voice modifications
gesture - movement",Voice transformation/modulation/morphing,Other voice modalities,"Voice as audio
Voice as movement/gesture/motor control",Single voice,Real-time processing,Voice in performance/experience,Other
7,"Designing, Playing, and Performing with a Vision-based Mouth Interface",2003,"vision based
head-work device
face tracking
facial parameters
output midi control change",Voice as control,Other voice modalities,Voice as movement/gesture/motor control,Single voice,Real-time processing,Voice beyond audio,face trackers
8,E-mic: Extended Mic-stand Interface Controller,2003,"gestural controler
device
voice modifications real-time","Voice transformation/modulation/morphing
Voice accompaniment",Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Hand-based gestures
9,Bimanuality in Alternate Musical Instruments,2003,"hand-gesture control
vowl-like sound
voice synthesis
mapping strategies
glove",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
10,"Recycling Music, Answering Back: Toward an Oral Tradition of Electronic Music",2004,voice recording,Voice samples,Singing voice,Voice as audio,Single voice,Use of voice samples,Voice in performance/experience,Other
11,"The Architecture of Auracle: a Real-Time, Distributed, Collaborative Instrument",2004,"voice as controler
voice analysis
group instrument
indivicual - gorup voice","Voice analysis
Voice transformation/modulation/morphing",Singing voice,Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
12,Acappella synthesis demonstrations using RWC music database,2004,"voice morphing
voice synthesis","Voice synthesis
Voice samples","Singing voice
Spoken voice",Voice as audio,Single voice,Use of voice samples,Control of voice synthesis/morphing,Other
13,A Novel Face-tracking Mouth Controller and its Application to Interacting with Bioacoustic Models,2004,"face tracking
vision based
mouth as a controler
physical model of bird voice
bird voice synthesis",Voice transformation/modulation/morphing,Singing voice,Voice as movement/gesture/motor control,Single voice,Real-time processing,Non-human voices,
14,A Personal Chronology of Audiovisual Systems Research,2005,"voice made visibile
voice visualisation
speech visualisation","Voice analysis
Voice accompaniment","Singing voice
Spoken voice
Other voice modalities",Voice as audio,"Multiple voices
Single voice",Real-time processing,Voice in performance/experience,Voice visualization
15,HandySinger: Expressive Singing Voice Morphing using Personified Hand-puppet Interface,2005,"speech synthesis
device
hand puppet 
gesture controler
control parameters of speech",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
16,Voice-Controlled Plucked Bass Guitar Through Two Synthesis Techniques,2005,"singing voice as controller
voice analysis
control quitare plucking",Voice as control,Singing voice,Voice as audio,Single voice,Real-time processing,Voice as control,Sung
17,CyberSong,2005,"performance interface for singers
stored, processed, and played back
recording",Voice samples,Singing voice,Voice as audio,Single voice,Use of voice samples,Voice in performance/experience,Other
18,The Wahwactor: a Voice Controlled Wah-Wha Pedal,2005,"voice analysis 
speech analysis (wahwah)
voice as control
controls effects for an instrument",Voice as control,Singing voice,Voice as audio,Single voice,Real-time processing,Voice as control,Sung
19,Using Music to Interact with a Virtual Character,2005,"voice analysis
control character behaviors",Voice as control,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Voice visualization
20,Real-Time Performance Controllers for Synthesized Singing,2005,"speech synthesis
controlers",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
21,"Real-time CALM Synthesizer
New Approaches in Hands-Controlled Voice Synthesis",2006,"voice synthesis
voice source model
gesture control for voice synthesis
different gestural control interfaces : data glove, keyboard, graphic tablet, pedal board",Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
22,"GRASSP: Gesturally-Realized Audio, Speech and Song Performance",2006,"glove interface
speech, song, sound synthesis
voice synthesis
gestural control of musical expression 
gesture-to-voice system",Voice synthesis,"Singing voice
Spoken voice",Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
23,Learning Musical Instrument Skills Through Interactive Sonification,2006,"voice analysys
give feeback on singing performance
",Voice analysis,Singing voice,Voice as audio,Single voice,Real-time processing,Voice training,
24,HandSketch Bi-Manual Controller,2007,"voice synthesis
gesture control of voice parameters
expressive voice
device tablet",Voice as control,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
25,Matching Parts: Inner Voice Led Control for Symbolic and Audio Accompaniment,2007,"inner voice
music synthesis",Voice accompaniment,Singing voice,"Voice as audio
Inner voice",Single voice,Real-time processing,Voice beyond audio ,inner voice
26,Díamair: Composing for Choir and Integral Music Controller,2007,"choir singing
interface for conductor to choose voices
gesture based",Voice accompaniment,Singing voice,Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
27,JamiOki-PureJoy: A Game Engine and Instrument for Electronically-Mediated Musical Improvisation,2007,"Gesture based 
modify voice effects
voice recordings
joystick device for control
","Voice transformation/modulation/morphing
Voice samples",Singing voice,Voice as audio,Multiple voices,"Real-time processing
Delayed
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
28,"Circle Canon Chorus System Used To Enjoy A Musical Ensemble Singing ""Frog Round""",2007,"multiuser
recording voice
ensemble
individual - group voice","Voice accompaniment
Voice samples",Singing voice,Voice as audio,Multiple voices,"Delayed
Use of voice samples",Voice in performance/experience,Social/ Collaborative / Networked
29,Discourse analysis evaluation method for expressive musical interfaces,2008,"voice analysis
voice morphing
timbral remapping
invividual - group voice",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Multiple voices,Real-time processing,Voice in performance/experience,Other
30,Mappe per Affetti Erranti: a Multimodal System for Social Active Listening and Expressive Performance,2008,"gesture-based control
voice modification",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Multiple voices,"Real-time processing
Use of voice samples",Voice in performance/experience,Social/ Collaborative / Networked
31,Gesture ≈ Sound Experiments: Process and Mappings,2008,"gesture-based control
associated with voical prorotyping and recordings",Voice accompaniment,Singing voice,"Voice as audio
Voice as movement/gesture/motor control",Multiple voices,Real-time processing,Voice in performance/experience,Other
32,Evaluation of 3D Haptic Target Rendering to Support Timing in Music Tasks,2009,"voice recording
device, gesture, force ",Voice samples,Spoken voice,Voice as audio,Single voice,Use of voice samples,,
33,Mims: Interactive Multimedia Live Performance System,2009,"voice as control
voice analysis
voice objects
from voice to gesture","Voice transformation/modulation/morphing
Voice samples",Singing voice,Voice as audio,Single voice,"Delayed
Use of voice samples",Voice in performance/experience,Voice visualization
34,ForTouch: A Wearable Digital Ventriloquized Actor,2009,"glove device
gesture controled
gesture to voice
voice synthesis
digital ventriloquism","Voice transformation/modulation/morphing
Voice samples",Spoken voice,Voice as audio,Single voice,"Delayed
Use of voice samples",Control of voice synthesis/morphing,Hand-based gestures
35,Re-Designing Principles for Computer Music Controllers: a Case Study of SqueezeVox Maggie,2009,,Voice synthesis,Singing voice,Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
36,"Words, Movement and Timbre",2009,"voice movements
timbre
voice controlled musical instrument",Voice as control,Spoken voice,Voice as movement/gesture/motor control,Single voice,Real-time processing,Voice as control,Spoken
37,Auditory Masquing: Wearable Sound Systems for Diegetic Character Voices,2010,"wearable device - mask
voice transformation in performance
",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Other
38,V!OCT (Ritual): An Interactive Vocal Work for Bodycoder System and 8 Channel Spatialization,2011,"wearable
gestures
voice analysis
voice as controler",Voice transformation/modulation/morphing,Singing voice,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Hand-based gestures
39,ROOM#81 - Agent-Based Instrument for Experiencing Architectural and Vocal Cues,2011,"multiusers
space
voice synthesis",Voice synthesis,Other voice modalities,Voice as audio,Single voice,Real-time processing,Voice in performance/experience,Social/ Collaborative / Networked
40,The Six Fantasies Machine – an instrument modelling phrases from Paul Lansky’s Six Fantasies,2011,"voice analysis
voice resynthesis
voice scuplting
voice modes (speaking, singing, whispering)
experience of voices","Voice transformation/modulation/morphing
Voice samples","Singing voice
Spoken voice
Other voice modalities",Voice as audio,"Single voice
Multiple voices","Real-time processing
Use of voice samples",Voice in performance/experience,Other
41,SQUEEZY: Extending a Multi-touch Screen with Force Sensing Objects for Controlling Articulatory Synthesis,2011,"device - tablet
gesture controlled 
voice synthesis
haptic feedback",Voice synthesis,"Spoken voice
Singing voice",Voice as audio,Single voice,Real-time processing,Control of voice synthesis/morphing,Hand-based gestures
42,A Voice Interface for Sound Generators: adaptive and automatic mapping of gestures to sound,2012,"voice analysis
vocal gesture
timbre
voice-controlled interface",Voice as control,"Singing voice
Other voice modalities","Voice as audio
Voice as movement/gesture/motor control",Single voice,"Real-time processing
Use of voice samples",Voice as control,Sung
